molecule_chembl_id,canonical_smiles,bioactivity_class,standard_value
CHEMBL175809,c1ccc(CN2CCC3CN(c4ncnc5oc(-c6ccccc6)nc45)CC32)cc1,1,120.0
CHEMBL119839,Nc1cc(C#Cc2ccc(N3CCOCC3)nc2)ncn1,1,120.0
CHEMBL375255,Nc1ncnc(C#Cc2ccc(N3CCOCC3)nc2)c1-c1ccc2c(c1)OCO2,1,120.0
CHEMBL317176,OCC1OC(n2cc(I)c3c(Nc4ccccc4)ncnc32)C(O)C1O,1,120.0
CHEMBL449402,Nc1ncnc(C#Cc2ccc(N3CCOCC3)nc2)c1-c1cc2ccccc2o1,1,123.0
CHEMBL369761,c1ccc(CN2CCC3CN(c4ncnc5oc(-c6cccnc6)nc45)CC32)cc1,1,130.0
CHEMBL358714,CN(C)c1ccc(-c2c(-c3ccc(N4CCOCC4)nc3)nc3ncnc(N)c3c2-c2cccc(Cl)c2)cc1,1,130.0
CHEMBL422489,CN(C)c1ccc(-c2nc3ncnc(N)c3c(-c3cccc(Cl)c3)c2-c2ccccc2)cn1,1,130.0
CHEMBL366606,O=C(Nc1ccc(-c2nc3c(N4CC5CCN(Cc6ccccc6)C5C4)ncnc3o2)cc1)c1ccc(F)cc1,1,130.0
CHEMBL105216,Nc1ncnc2nc(-c3ccc(N4CC(O)C(O)C4)nc3)cc(-c3cccc(Br)c3)c12,1,130.1
