canonical_smiles,bioactivity_class
Nc1ncnc2c1c(-c1cn[nH]c1)cn2C1OC(CO)C(O)C1O,0
Nc1ncnc2c1c(-c1cccs1)cn2C1OC(CO)C(O)C1O,0
C#Cc1ccc(SCc2ccc(C3(CC)Oc4ccccc4-n4cccc4C3=O)cc2)cc1,0
OCC1OC(n2cc(Cl)c3c(-c4ccoc4)ncnc32)C(O)C1O,0
COCCNC(=O)CNc1ncnc2c1c(-c1ccccc1)cn2C1OC(C)C(O)C1O,1
CN(C)c1ccc(C#Cc2ncnc(N)c2-c2ccccc2Cl)cc1,0
CN(C)c1ncnc2c1c1c(ccn1C)n2C1OC(CO)C(O)C1O,0
CC1OC(n2cc(C(N)=O)c3c(N)ncnc32)C(O)C1O,0
C=CC1OC(n2cc(I)c3c(N)ncnc32)C(O)C1O,1
Nc1ncnc2c1c(-c1cccc3c1Sc1ccccc1S3)cn2C1OC(CO)C(O)C1O,0
CSc1ncnc2c1c(I)cn2C1OC(C)C(O)C1O,0
CC(Nc1ncnc2c1c(-c1ccccc1)cn2C1OC(C)C(O)C1O)C(=O)NC1CC1,0
CN(C)c1ccc(-c2nc3ncnc(N)c3cc2Cc2ccccc2)cc1,1
Nc1ncnc2c1c(I)nn2C1CC(N)C(O)C1O,1
OCC1OC(n2cc(Cl)c3c(-c4ccc(F)cc4)ncnc32)C(O)C1O,0
CC1OC(n2cc(I)c3c(NCc4ccccc4)ncnc32)C(O)C1O,0
CCCCCCCCCCCCCCCCCCOP(=O)(O)OCC1OC(n2ccc3c(-c4ccoc4)ncnc32)C(O)C1O,0
COCCOC1CCN(c2ccc(-c3cc(-c4cccc(Br)c4)c4c(N)ncnc4n3)nn2)CC1,1
CC1OC(n2cc(-c3ccccc3)c3c(NCC(=O)Nc4ccccc4)ncnc32)C(O)C1O,1
O=C1c2cccn2-c2ccccc2SC1c1ccccc1,0
Nc1ncnc2nc(-c3ccc(N4CCOCC4)nc3)c(Cc3ccccc3)c(-c3cccc(Br)c3)c12,0
CC1OC(n2cc(I)c3c(NCC(=O)NC4CC4)ncnc32)C(O)C1O,0
OCC1OC(n2cc(Cl)c3c(-c4cccs4)ncnc32)C(O)C1O,0
CN(C)c1ccc(-c2nc3ncnc(N)c3c(-c3ccccc3)c2-c2ccccc2)cc1,1
COc1ccc(-c2c(-c3cccs3)nc3ncnc(N)c3c2-c2cc(Br)cs2)cc1OC,1
CC1OC(n2cc(I)c3c(Nc4ccc(C#N)cc4)ncnc32)C(O)C1O,0
OCC1OC(n2c(I)nc3c(Nc4ccccc4)ncnc32)C(O)C1O,0
CNC(=O)CNc1ncnc2c1c(-c1ccccc1)cn2C1OC(C)C(O)C1O,1
CCC1(c2ccc(CSc3ccc(I)cc3)cc2)Sc2ccccc2-n2cccc2C1=O,0
CSc1cn(C2OC(C)C(O)C2O)c2ncnc(Cl)c12,0
Nc1ncnc2c1c(-c1c[nH]cn1)cn2C1OC(CO)C(O)C1O,0
CN(C)c1ccc(C#Cc2ncnc(N)c2-c2cccc([N+](=O)[O-])c2)cc1,1
Nc1ncnc2c1c(-c1ccccc1)cn2C1OC(CO)C(O)C1O,0
OCC1OC(n2c(N3CCc4ccccc43)nc3c(N4CCc5ccccc54)ncnc32)C(O)C1O,0
Nc1ncnc(C#Cc2ccc(N3CCOCC3)nc2)c1-c1ccc(Cl)cc1,1
OCC12CC1C(n1cc(-c3ccccc3)c3c(Nc4ccccc4)ncnc31)C(O)C2O,1
COc1ccc(-c2c(N)ncnc2C#Cc2ccc(N(C)C)cc2)cc1OC,0
O=C(Nc1ccc(-c2nc3c(N4CC5CCN(Cc6ccccc6)C5C4)ncnc3o2)cc1)C1CC1,1
CN(C)c1ccc(-c2nc3ncnc(N)c3cc2-c2cccc(Br)c2)cc1,1
CN(C)c1ccc(C#Cc2ncnc(N)c2-c2ccccc2)cc1,0
Nc1ncnc(C#Cc2ccc(N3CCOCC3)nc2)c1-c1cc2ccccc2s1,1
CCC1(c2ccc(CSc3cccc(Cl)c3)cc2)Oc2ccccc2-n2cccc2C1=O,0
OCC1OC(n2c3ccoc3c3c(-c4ccoc4)ncnc32)C(O)C1O,0
Nc1ncnc2c1ccn2C1OC(CO)C(O)C1O,0
Cc1ccc(Nc2ncnc3c2c(-c2ccccc2)cn3C2OC(C)C(O)C2O)cc1,1
CC1OC(n2cc(-c3ccccc3)c3c(NCC4CC4)ncnc32)C(O)C1O,1
COc1ccc(Nc2ncnc3c2c(I)cn3C2OC(C)C(O)C2O)cc1,0
OCC1OC(n2cc(Cl)c3c(-c4ccco4)ncnc32)C(O)C1O,1
O=C1c2cccn2-c2ccccc2OC1c1ccc(CSc2ccccc2)cc1,0
CCCCCc1c(-c2ccc(N(C)C)nc2)nc2ncnc(N)c2c1-c1cccc(Br)c1,0
CC(C)c1ccc(C#Cc2ncnc(N)c2-c2ccc(Cl)cc2)cc1,1
CCOc1ccc(Nc2ncnc3c2c(-c2ccccc2)cn3C2OCC(O)C2O)cc1,1
Nc1ncnc2c1c(C=Cc1ccccc1)cn2C1OC(CO)C(O)C1O,0
O=C(CNc1ncnc2c1c(-c1ccccc1)nn2C1OC(CO)C(O)C1O)Nc1ccccc1,1
CCN(CC)CCNC(=O)CNc1ncnc2c1c(-c1ccccc1)cn2C1OC(C)C(O)C1O,1
Nc1ncnc2c1c(I)nn2C1OC(CO)C(O)C1O,1
Nc1cc(C#Cc2ccc(N3CCOCC3)nc2)ncn1,1
OCC1OC(n2c(-c3ccco3)nc3c(N4CCc5ccccc54)ncnc32)C(O)C1O,0
O=C(CNc1ncnc2c1c(-c1ccccc1)cn2COCCO)NC1CC1,0
OCC1OC(n2cc(F)c3c(-c4cc[nH]c4)ncnc32)C(O)C1O,0
O=C1C(c2ccc3ccccc3c2)Oc2ccccc2N1Cc1ccc(F)cc1,0
OCC1OC(n2ccc3c(-c4ccccn4)ncnc32)C(O)C1O,0
CC(C)c1ccc(-c2cn(C3OC(CO)C(O)C3O)c3ncnc(N)c23)cc1,0
NCC1OC(n2ccc3c(N)ncnc32)C(O)C1O,0
OCC1OC(n2c(N3CCc4ccccc43)nc3c(Nc4ccccc4)ncnc32)C(O)C1O,0
Cn1ccc2c3c(-c4ccoc4)ncnc3n(C3OC(CO)C(O)C3O)c21,0
CC1OC(n2cc(Br)c3c(N)ncnc32)C(O)C1O,0
CCC1(c2ccc(COc3ccc(I)cc3Cl)cc2)Oc2ccccc2-n2cccc2C1=O,0
CCCCCCCCCCCCCCCCCCOP(=O)(O)OCC1OC(n2ccc3c(-c4cccs4)ncnc32)C(O)C1O,0
OCC1OC(n2cc(I)c3c(Cl)ncnc32)C(O)C1O,1
CSc1cn(C2OC(C)C(O)C2O)c2ncnc(N)c12,0
CSc1ncnc2c1c1c(ccn1C)n2C1OC(CO)C(O)C1O,0
CC1OC(n2cc(I)c3c(=S)[nH]cnc32)C(O)C1O,0
O=C(CNc1ncnc2c1c(-c1ccccc1)cn2COCCO)Nc1ccc(Cl)cc1,1
COc1ccc(-c2c(N)ncnc2C#Cc2ccc(N(C)C)cc2)cc1,1
CN(C)c1ccc(-c2nc3ncnc(N)c3cc2-c2ccccc2)cc1,0
c1ccc2c(CCNc3ncnc4nc(-c5ccc(N6CCOCC6)nc5)cnc34)c[nH]c2c1,1
CCC1(c2ccc(CSc3ncc[nH]3)cc2)Oc2ccccc2-n2cccc2C1=O,0
CN(C)c1ccc(C#Cc2cc(N)ncn2)cc1,0
O=C(Nc1cccc(-c2nc3c(N4CC5CCN(Cc6ccccc6)C5C4)ncnc3o2)c1)c1ccc(F)cc1,1
COc1ccc(-c2cc3c(N)ncnc3nc2-c2cccs2)cc1Br,1
CN(C)c1ccc(C#Cc2ncnc(N(C)C)c2-c2ccc(Cl)cc2)cc1,1
O=C(Nc1ccc(-c2nc3c(N4CC5CCN(Cc6ccccc6)C5C4)ncnc3o2)cc1)c1ccc(F)cc1,1
COc1ccc(-c2cnc3c(N)ncnc3n2)cc1,0
Nc1ccc(-c2cnc3c(N)ncnc3n2)cc1,0
CC(C)c1cccc(-c2cn(C3OC(CO)C(O)C3O)c3ncnc(N)c23)c1,0
CN1C(=O)C(c2cccc3ccccc23)Oc2cc3c(cc21)OCO3,0
Cc1ccc(-c2cc3c(N)ncnc3nc2-c2cccs2)cc1,1
CN(C)c1ccc(-c2nc3ncnc(N)c3c(-c3cccc(Br)c3)c2C2CCCCC2)cn1,0
CN(C)c1ccc(-c2nc3c(N4CC5CCN(Cc6ccccc6)C5C4)ncnc3o2)cn1,1
OCC1OC(n2ccc3c(-c4ccsc4)ncnc32)C(O)C1O,0
CN(C)c1ccc(-c2cnc3c(N)ncnc3n2)cc1,0
CCCCCCCCCCCCCCCCCCOP(=O)(O)OCC1OC(n2ccc3c(-c4ccco4)ncnc32)C(O)C1O,0
Brc1ccc(-c2nc3c(N4CC5CCN(Cc6ccccc6)C5C4)ncnc3o2)cc1,1
[N-]=[N+]=NCC1OC(n2cc(Br)c3c(Cl)ncnc32)C(O)C1O,1
Nc1ncnc2c1c(I)cn2C1C(O)C(O)C2(CO)CC12,0
CN(C)c1ccc(C#Cc2ncnc3[nH]nc(-c4ccccc4)c23)cn1,1
CC1OC(n2cc(-c3ccccc3)c3c(NCC(=O)NCCCO)ncnc32)C(O)C1O,1
CC(C)c1c(-c2ccc(N3CCOCC3)nc2)nc2ncnc(N)c2c1-c1cccc(Br)c1,0
CN(C)c1ccc(C#Cc2ncnc(NC3CCCCC3)c2-c2ccc(Cl)cc2)cc1,0
CON=C1CCN(c2ccc(-c3cc(-c4cccc(Br)c4)c4c(N)ncnc4n3)nn2)CC1,1
Nc1ncnc(C#Cc2ccccc2)c1-c1ccc(Cl)cc1,1
Nc1ncnc(C#Cc2ccccn2)c1-c1ccc(Cl)cc1,0
Cc1nc(N)c(-c2ccccc2)c(C#Cc2ccc(N(C)C)cc2)n1,0
NCC1OC(n2cc(I)c3c(N)ncnc32)C(O)C1O,1
